epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1974.6,0.75271,0.74284,1.21925,0.98185,0.93018,0.98555,0.80378,0.59994,0.57188,1.15453,0.0007987,0.0007987,0.0007987
63,2006.97,0.67519,0.69268,1.17736,0.91792,0.97222,0.98093,0.76949,0.63466,0.50471,1.17933,0.0007954,0.0007954,0.0007954
64,2037.84,0.68688,0.67013,1.17724,0.92425,0.91625,0.97569,0.8135,0.58871,0.53105,1.13533,0.0007921,0.0007921,0.0007921
65,2070.03,0.7035,0.70216,1.19688,0.95998,0.94998,0.98673,0.80659,0.62881,0.43586,1.16429,0.0007888,0.0007888,0.0007888
66,2100.92,0.71653,0.66791,1.19945,0.92369,0.96974,0.96813,0.78862,0.60758,0.45757,1.19569,0.0007855,0.0007855,0.0007855
67,2133.1,0.70841,0.69937,1.20578,0.73333,0.73312,0.75415,0.49869,1.0981,1.61449,1.73736,0.0007822,0.0007822,0.0007822
68,2164.01,0.70486,0.62789,1.1901,0.99222,0.98611,0.993,0.83115,0.59167,0.46753,1.14104,0.0007789,0.0007789,0.0007789
69,2196.42,0.68254,0.66304,1.16874,0.94851,0.97222,0.9796,0.77094,0.62985,0.44092,1.21954,0.0007756,0.0007756,0.0007756
70,2227.31,0.7008,0.65257,1.1725,0.88246,0.86111,0.89832,0.76196,0.58212,0.58107,1.10871,0.0007723,0.0007723,0.0007723
71,2259.51,0.69924,0.62165,1.18268,0.8966,0.97138,0.98151,0.78813,0.57844,0.49589,1.09053,0.000769,0.000769,0.000769
72,2290.36,0.70058,0.63846,1.19517,0.94251,0.97222,0.98591,0.78764,0.61684,0.4106,1.17026,0.0007657,0.0007657,0.0007657
73,2322.61,0.64923,0.59329,1.15814,0.9016,1,0.97509,0.78732,0.6198,0.50493,1.19225,0.0007624,0.0007624,0.0007624
74,2353.41,0.69679,0.65693,1.18823,0.92625,0.98611,0.98742,0.74804,0.69147,0.52637,1.20918,0.0007591,0.0007591,0.0007591
75,2385.61,0.70819,0.65521,1.18295,0.79715,0.56476,0.71538,0.38046,1.20633,1.6635,2.01166,0.0007558,0.0007558,0.0007558
76,2416.48,0.65762,0.6329,1.15626,0.90603,0.98611,0.97991,0.75678,0.59954,0.39889,1.12019,0.0007525,0.0007525,0.0007525
