epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,1044.62,0.63489,0.41198,0.85176,0.85482,0.84474,0.90291,0.7671,0.74109,0.65204,0.87596,0.0004786,0.0004786,0.0004786
160,1051.11,0.62317,0.40565,0.86047,0.85242,0.89162,0.93496,0.79738,0.74247,0.64739,0.8744,0.0004753,0.0004753,0.0004753
161,1057.57,0.61351,0.40392,0.84772,0.78816,0.90198,0.91531,0.75575,0.80265,0.64171,0.88424,0.000472,0.000472,0.000472
162,1064.03,0.64986,0.43474,0.86205,0.84863,0.80223,0.8999,0.73222,0.8284,0.63738,0.88986,0.0004687,0.0004687,0.0004687
163,1070.5,0.66049,0.44263,0.8762,0.73139,0.8946,0.91987,0.75244,0.80967,0.63021,0.88407,0.0004654,0.0004654,0.0004654
164,1076.93,0.59334,0.38522,0.83955,0.73139,0.8946,0.91987,0.75244,0.80967,0.63021,0.88407,0.0004621,0.0004621,0.0004621
165,1083.42,0.63502,0.44871,0.86256,0.74521,0.89313,0.92508,0.77452,0.77511,0.6168,0.88063,0.0004588,0.0004588,0.0004588
166,1089.88,0.67331,0.45054,0.87461,0.83654,0.81822,0.92707,0.78154,0.75232,0.63695,0.87658,0.0004555,0.0004555,0.0004555
167,1096.39,0.60605,0.39346,0.85803,0.84685,0.79605,0.87647,0.73763,0.76126,0.67702,0.88292,0.0004522,0.0004522,0.0004522
168,1102.92,0.58499,0.39696,0.84645,0.84334,0.78101,0.86052,0.7085,0.78443,0.72077,0.8894,0.0004489,0.0004489,0.0004489
169,1109.4,0.5913,0.38322,0.84194,0.84334,0.78101,0.86052,0.7085,0.78443,0.72077,0.8894,0.0004456,0.0004456,0.0004456
170,1115.93,0.62793,0.42267,0.87411,0.82804,0.7921,0.89447,0.74763,0.78147,0.73591,0.88821,0.0004423,0.0004423,0.0004423
171,1122.45,0.59699,0.38612,0.84917,0.8584,0.7949,0.90413,0.75592,0.7737,0.68847,0.88487,0.000439,0.000439,0.000439
172,1128.96,0.59463,0.39922,0.84399,0.72891,0.90116,0.92509,0.77086,0.76205,0.66306,0.88865,0.0004357,0.0004357,0.0004357
173,1135.45,0.58274,0.37594,0.85719,0.77864,0.90737,0.9372,0.79837,0.78907,0.67539,0.89588,0.0004324,0.0004324,0.0004324
174,1141.94,0.60492,0.39818,0.85028,0.77864,0.90737,0.9372,0.79837,0.78907,0.67539,0.89588,0.0004291,0.0004291,0.0004291
175,1148.58,0.55982,0.36646,0.84474,0.79813,0.91511,0.94554,0.80121,0.80672,0.66906,0.90117,0.0004258,0.0004258,0.0004258
176,1155.06,0.55772,0.36166,0.85003,0.82639,0.89712,0.94574,0.80194,0.76913,0.61747,0.89156,0.0004225,0.0004225,0.0004225
177,1161.54,0.58299,0.38926,0.86338,0.83615,0.88784,0.95175,0.81323,0.74685,0.60603,0.88258,0.0004192,0.0004192,0.0004192
178,1167.99,0.61913,0.40883,0.85595,0.84829,0.88763,0.94174,0.78773,0.74096,0.58758,0.88152,0.0004159,0.0004159,0.0004159
179,1174.41,0.62965,0.41373,0.86182,0.84829,0.88763,0.94174,0.78773,0.74096,0.58758,0.88152,0.0004126,0.0004126,0.0004126
180,1180.92,0.5981,0.38411,0.83252,0.84536,0.8883,0.93142,0.77802,0.74004,0.5682,0.88335,0.0004093,0.0004093,0.0004093
181,1187.4,0.55942,0.35693,0.8328,0.84324,0.89691,0.92266,0.77161,0.75811,0.54793,0.8858,0.000406,0.000406,0.000406
182,1193.88,0.61598,0.38529,0.85016,0.83192,0.89419,0.92993,0.77102,0.7744,0.56998,0.89049,0.0004027,0.0004027,0.0004027
183,1200.34,0.62314,0.4042,0.87558,0.84996,0.87742,0.91599,0.75897,0.76749,0.56361,0.88847,0.0003994,0.0003994,0.0003994
184,1206.75,0.55895,0.38756,0.84041,0.84996,0.87742,0.91599,0.75897,0.76749,0.56361,0.88847,0.0003961,0.0003961,0.0003961
185,1213.2,0.63107,0.40755,0.86108,0.80932,0.91164,0.91929,0.76825,0.75514,0.54557,0.88412,0.0003928,0.0003928,0.0003928
186,1219.71,0.57199,0.369,0.83475,0.79429,0.94941,0.88397,0.73398,0.73809,0.52775,0.8824,0.0003895,0.0003895,0.0003895
